,United States of America,Federal state,".mw-parser-output .monospaced{font-family:monospace,monospace}USUSA840",Abbrevation,00,,,U.S.,U.S.,U.S.A.
0,Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,
1,Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Ak.[1]
2,Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,
3,Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,
4,California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,Cal.
5,Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,
6,Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,
7,Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,
8,DistrictofColumbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Dis. Col.[2]
9,Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,
10,Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.[1]
11,Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,Hi.[1]
12,Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,Ida.[1]
13,Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Ills., Ill's"
14,Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,
15,Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,Ioa.[a]
16,Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,Ka.
17,Kentucky,State,US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.[b]"
18,Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,
19,Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,
20,Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,"Mar., Mary."
21,Massachusetts,State,US-MA,MA,25,MA,MS,Mass.,Mass.,
22,Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,
23,Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,
24,Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,
25,Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,
26,Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,
27,Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,
28,Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,
29,NewHampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,
30,NewJersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N. Jersey[2]
31,NewMexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,"New M., New Mex."
32,NewYork,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York[2]
33,NorthCarolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.
34,NorthDakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,
35,Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,Oh.[1]
36,Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,
37,Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,
38,Pennsylvania,State,US-PA,PA,42,PA,PA,Pa.,Pa.,Penn.[1]
39,RhodeIsland,State,US-RI,RI,44,RI,RI,R.I.,R.I.,R.I. & P.P.
40,SouthCarolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.
41,SouthDakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak
42,Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,
43,Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,
44,Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.[1]
45,Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,Verm.[3]
46,Virginia,State,US-VA,VA,51,VA,VA,Va.,Va.,Virg.
47,Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,Wn.[4]
48,WestVirginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg."
49,Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,Wisc.
50,Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,
51,AmericanSamoa,Insular area (Territory),ASASM016US-AS,AS,60,AS,AS,A.S.,,
52,Guam,Insular area (Territory),GUGUM316US-GU,GU,66,GU,GU,Guam,,
53,NorthernMarianaIslands,Insular area (Commonwealth),MPMNP580US-MP,MP,69,MP,CM,M.P.,,CNMI[5]
